id;categoria;riferimento;verifica;metodo;esito
C01;Sicurezza;EN 81-20 5.11;Catena di sicurezza in serie ad apertura positiva;ispezione+prova continuita;
C02;Sicurezza;EN 81-20 5.11.2;Apertura positiva di tutti i contatti di sicurezza;prova meccanica;
C03;Sicurezza;EN 81-50 5.6;Rele di sicurezza a contatti guidati con auto-monitoraggio;prova guasto singolo;
C04;Sicurezza;EN 81-20 5.6.7.1;Funzione UCM/A3 - arresto a porte aperte fuori zona;prova movimento simulato;
C05;Sicurezza;EN 81-20 5.6.6;Limitatore di velocita - intervento alla soglia;prova overspeed;
C06;Sicurezza;EN 81-20 5.6.2;Paracadute (geared) / valvola blocco (idraulico);prova intervento;
C07;Sicurezza;EN 81-20 5.12.1.4;Velocita di ispezione <= 0.63 m/s;misura tachimetrica;
C08;Sicurezza;EN 81-20 5.12.1.1.3;Velocita di rilivellamento <= 0.30 m/s;misura;
C09;Sicurezza;EN 81-20 5.3.9;Serrature porte: contatto chiusura + blocco;prova porta per porta;
C10;Sicurezza;EN 81-20 5.12.1.4;Bypass porte solo con dispositivo monitorato dedicato;ispezione;
C11;Sicurezza;EN 81-20 5.10.1;Continuita di terra su masse (cabina, guide, quadro, motore);misura <0.5 ohm;
C12;Sicurezza;EN 81-20 5.10.1.1.4;Isolamento circuiti (rigidita dielettrica);prova 1000V;
C13;Sicurezza;EN 81-20 5.6.7.3;Extracorsa superiore/inferiore (final limit);prova corsa estrema;
C14;Funzionale;PRG_*.st;Partenza e arresto al piano con livellamento;prova corsa;
C15;Funzionale;PRG_*.st;Apertura/chiusura porte con fotocellula e tempo attesa;prova;
C16;Funzionale;PRG_*.st;Sovraccarico: blocco partenza + segnalazione;prova con carico;
C17;Funzionale;PRG_*.st;Revisione uomo presente bassa velocita;prova da tetto cabina;
C18;Funzionale;PRG_*.st;Logica chiamate collettiva selettiva (ordine corretto);prova multi-chiamata;
C19;Funzionale;PRG_Idraulico.st;Avviamento stella-triangolo pompa (idraulico);osservazione sequenza;
C20;Funzionale;PRG_Idraulico.st;Discesa per gravita - pompa ferma (idraulico);osservazione;
C21;Funzionale;PRG_*.st;Mancanza rete: riporto/discesa emergenza al piano;prova mancanza rete;
C22;Funzionale;EN 81-20 5.4.10;Allarme bidirezionale e comunicazione cabina;prova pulsante allarme;
C28;Sicurezza;EN 81-28 4.1;Allarme attivato solo dopo filtro temporale sul pulsante;prova pressione breve/prolungata;
C29;Sicurezza;EN 81-28 4.2;Pittogramma giallo (allarme inviato) e verde (collegamento);prova visiva cabina;
C30;Sicurezza;EN 81-28 4.3;Autonomia batteria >= 1h comunicazione dopo mancanza rete;prova scarica/dichiarazione;
C31;Sicurezza;EN 81-28 4.4;Test automatico periodico (<= 3 giorni) di linea e batteria;verifica log/prova;
C32;Accessibilita;EN 81-70 5.4.2;Tempo sosta porte esteso su chiamata accessibile;misura tempo porte;
C33;Accessibilita;EN 81-70 5.4.3;Segnalazioni acustiche e visive di arrivo/direzione;prova;
C34;Cybersecurity;CRA 2024 Annex I;Nessuna password in chiaro: hash salati + lockout anti brute-force;ispezione firmware/log;
C35;Cybersecurity;CRA 2024 Annex I;Audit log persistente degli accessi e delle modifiche parametri;verifica /audit.log;
C23;EMC;EN 12015/12016;Compatibilita elettromagnetica (emissione/immunita);dichiarazione/prova;
C24;Documentazione;2014/33/UE;Dichiarazione di conformita UE + marcatura CE;verifica documentale;
C25;Documentazione;DPR 162/99;Verifica/collaudo da Organismo Notificato o soggetto abilitato;verbale;
C26;Cybersecurity;EN 81-20 5.12;Parametri safety non modificabili via wireless (gate chiave);prova accesso;
C27;Cybersecurity;-;WiFi in AP locale WPA2/WPA3 senza esposizione internet;ispezione config;
